condition,instability_percentile,instability_cutoff,is_frozen_operating_point,coverage,selective_unsafe_risk,autonomous_count,unsafe_count
clean,50.0,0.9953182752583932,False,0.4175160437901095,0.0016726943942133815,22120,37
clean,75.0,1.7906144541922666,False,0.6420913552283881,0.001499206302545711,34018,51
clean,90.0,2.7466104759156593,False,0.7805398263495659,0.0013058302904263295,41353,54
clean,95.0,3.415809990129968,False,0.827368818422046,0.001231920427065748,43834,54
clean,97.5,4.110945786330966,False,0.8515477538693846,0.001196941150393439,45115,54
clean,99.0,5.353258750554567,True,0.8658361645904115,0.0011989884897104987,45872,55
clean,99.5,9.687509651887899,False,0.8691392978482446,0.0012161487176146112,46047,56
clean,99.9,11.33490551676451,False,0.8691959229898075,0.0012160694896851249,46050,56
clean,99.99,12.383548849229767,False,0.8691959229898075,0.0012160694896851249,46050,56
missing_sensor_subset,50.0,0.9953182752583932,False,0.0,,0,0
missing_sensor_subset,75.0,1.7906144541922666,False,0.0,,0,0
missing_sensor_subset,90.0,2.7466104759156593,False,0.0,,0,0
missing_sensor_subset,95.0,3.415809990129968,False,0.0,,0,0
missing_sensor_subset,97.5,4.110945786330966,False,0.0,,0,0
missing_sensor_subset,99.0,5.353258750554567,True,0.0,,0,0
missing_sensor_subset,99.5,9.687509651887899,False,0.0,,0,0
missing_sensor_subset,99.9,11.33490551676451,False,0.0,,0,0
missing_sensor_subset,99.99,12.383548849229767,False,0.0,,0,0
additive_noise,50.0,0.9953182752583932,False,0.1755190637976595,0.0011829228949349392,9299,11
additive_noise,75.0,1.7906144541922666,False,0.48052095130237826,0.0015319349516851285,25458,39
additive_noise,90.0,2.7466104759156593,False,0.6965458663646659,0.001382001463295667,36903,51
additive_noise,95.0,3.415809990129968,False,0.7673272933182333,0.0013775121147270805,40653,56
additive_noise,97.5,4.110945786330966,False,0.8067383918459796,0.0013102173557006153,42741,56
additive_noise,99.0,5.353258750554567,True,0.8334277085692714,0.0012682595402559167,44155,56
additive_noise,99.5,9.687509651887899,False,0.8405058512646282,0.0012800359308331461,44530,57
additive_noise,99.9,11.33490551676451,False,0.8405247263118157,0.0012800071860052547,44531,57
additive_noise,99.99,12.383548849229767,False,0.8405247263118157,0.0012800071860052547,44531,57
conflicting_evidence,50.0,0.9953182752583932,False,0.41749716874292186,0.0016275600162756001,22119,36
conflicting_evidence,75.0,1.7906144541922666,False,0.6420724801812004,0.0014698533086397977,34017,50
conflicting_evidence,90.0,2.7466104759156593,False,0.7805209513023783,0.001281679241632811,41352,53
conflicting_evidence,95.0,3.415809990129968,False,0.8273499433748585,0.001209134670225629,43833,53
conflicting_evidence,97.5,4.110945786330966,False,0.8515288788221971,0.0011748016136897638,45114,53
conflicting_evidence,99.0,5.353258750554567,True,0.8658172895432239,0.0011772143620152166,45871,54
conflicting_evidence,99.5,9.687509651887899,False,0.8691204228010571,0.0011944577161968467,46046,55
conflicting_evidence,99.9,11.33490551676451,False,0.8691770479426199,0.0011943798996720885,46049,55
conflicting_evidence,99.99,12.383548849229767,False,0.8691770479426199,0.0011943798996720885,46049,55
sensor_dropout,50.0,0.9953182752583932,False,0.4234428086070215,0.00164928233930641,22434,37
sensor_dropout,75.0,1.7906144541922666,False,0.6501132502831257,0.0014807072554655519,34443,51
sensor_dropout,90.0,2.7466104759156593,False,0.7879765949414873,0.0012935061202002539,41747,54
sensor_dropout,95.0,3.415809990129968,False,0.8337674594186485,0.0012224662123921852,44173,54
sensor_dropout,97.5,4.110945786330966,False,0.8570781426953568,0.0011892177589852009,45408,54
sensor_dropout,99.0,5.353258750554567,True,0.8704416761041902,0.0012143290831815423,46116,56
sensor_dropout,99.5,9.687509651887899,False,0.8737070592676481,0.0012097906630084902,46289,56
sensor_dropout,99.9,11.33490551676451,False,0.873763684409211,0.0012097122612978485,46292,56
sensor_dropout,99.99,12.383548849229767,False,0.873763684409211,0.0012097122612978485,46292,56
