condition,n_rows,positive_rows,positive_rate,auprc,auroc,precision_at_frozen_threshold,recall_at_frozen_threshold,f1_at_frozen_threshold,frozen_threshold,n_onsets,carryovers
clean,105108,247,0.00234996384671,0.0040412493289839,0.5305640198377902,0.0221606648199446,0.0323886639676113,0.0263157894736842,0.99,19,p257;p427;p654;p810
missing_sensor_subset,105108,247,0.00234996384671,0.0022203988414918,0.50104705797731,0.0010594240585572,0.0445344129554655,0.0020696142991533,0.99,19,p257;p427;p654;p810
additive_noise,105108,247,0.00234996384671,0.0025125881081021,0.5046981994710793,0.002436053593179,0.1781376518218623,0.004806379376263,0.99,19,p257;p427;p654;p810
conflicting_evidence,105108,247,0.00234996384671,0.0040421045054747,0.5306207751329339,0.015174506828528,0.0404858299595141,0.0220750551876379,0.99,19,p257;p427;p654;p810
sensor_dropout,105108,247,0.00234996384671,0.0029762212452539,0.4987745296289088,0.0040517579401385,0.1255060728744939,0.0078500886300329,0.99,19,p257;p427;p654;p810
