dma,extreme_days,dry_days,extreme_mean_weekly_residual_lps,dry_mean_weekly_residual_lps,difference_lps,bootstrap_95_lo,bootstrap_95_hi
DMA 2,11,148,-0.4176523386034255,0.014710196841662625,-0.4323625354450881,-0.7781100793564139,-0.14114088302665967
DMA 3,11,148,-0.5243321805006588,0.005743444861787263,-0.530075625362446,-0.9662671138185405,-0.18801672013381276
