condition,source,coverage,missed_event_rate,n_missed,false_per_day,abst_esc_rate,unsafe_rate
clean,frozen_C,0.8658361645904115,0.8,4,0.2609335774552181,0.1341638354095885,0.0010381275953189883
clean,agent_C,0.8658361645904115,0.8,4,0.2609335774552181,0.1341638354095885,0.0010381275953189883
missing_sensor_subset,frozen_C,0.0,1.0,5,8.213971573642386,1.0,0.0
missing_sensor_subset,agent_C,0.0,1.0,5,8.213971573642386,1.0,0.0
additive_noise,frozen_C,0.8334277085692714,0.2,1,16.97699088318013,0.16657229143072858,0.0010570026425066063
additive_noise,agent_C,0.8334277085692714,0.2,1,16.97699088318013,0.16657229143072858,0.0010570026425066063
conflicting_evidence,frozen_C,0.8658172895432239,0.8,4,0.505558806319485,0.13418271045677616,0.0010192525481313704
conflicting_evidence,agent_C,0.8658172895432239,0.8,4,0.505558806319485,0.13418271045677616,0.0010192525481313704
sensor_dropout,frozen_C,0.8704416761041902,0.8,4,5.8275165631665375,0.12955832389580973,0.0010570026425066063
sensor_dropout,agent_C,0.8704416761041902,0.8,4,5.8275165631665375,0.12955832389580973,0.0010570026425066063
